sha256, refined_3d_prompt
"A Pig with a crown ", "A Pig with a crown "
"A Corgi in armour", "A Corgi in armour"
"a table top figure of a corgy with a wand and a cape ", "a table top figure of a corgy with a wand and a cape "
"a dragon with big wings", "a dragon with big wings"
"A big dragon sitting on a rock ", "A big dragon sitting on a rock "
"a dragon on a gymnastic ball ", "a dragon on a gymnastic ball "
"a halloween pumpkin ", "a halloween pumpkin "
"a sportscar ", "a sportscar "
"a cthulhu like seamonster ", "a cthulhu like seamonster "
"A Capybara knight in full plate armor, looking serene and noble.", "A Capybara knight in full plate armor, looking serene and noble."
"A Red Panda rogue, cloaked and holding a pair of daggers.", "A Red Panda rogue, cloaked and holding a pair of daggers."
"A Sea Otter swashbuckler with a tiny rapier and a pirate hat.", "A Sea Otter swashbuckler with a tiny rapier and a pirate hat."
"A Badger monk in a meditative pose.", "A Badger monk in a meditative pose."
"A Raccoon artificer with steampunk goggles and a set of intricate tools.", "A Raccoon artificer with steampunk goggles and a set of intricate tools."
"A Platypus detective in a trench coat and fedora, holding a magnifying glass.", "A Platypus detective in a trench coat and fedora, holding a magnifying glass."
"A secretary bird dressed as a scribe, holding a quill and scroll.", "A secretary bird dressed as a scribe, holding a quill and scroll."
"A grizzly bear as a Viking berserker with a two-handed axe.", "A grizzly bear as a Viking berserker with a two-handed axe."
"A majestic Gryphon perched on a castle battlement.", "A majestic Gryphon perched on a castle battlement."
"A Crystal Golem, with facets shimmering with internal light.", "A Crystal Golem, with facets shimmering with internal light."
"A wise and ancient Treant (Tree-person) with moss and birds on its branches.", "A wise and ancient Treant (Tree-person) with moss and birds on its branches."
"A powerful Lich King on a throne made of bones.", "A powerful Lich King on a throne made of bones."
"A nine-tailed Kitsune, with ethereal flames at the tip of each tail.", "A nine-tailed Kitsune, with ethereal flames at the tip of each tail."
"A Djinni emerging from a brass oil lamp.", "A Djinni emerging from a brass oil lamp."
"A Gorgon (like Medusa) with a tragic, sorrowful expression rather than monstrous.", "A Gorgon (like Medusa) with a tragic, sorrowful expression rather than monstrous."
"A Mind Flayer (Illithid) dressed as a Victorian gentleman.", "A Mind Flayer (Illithid) dressed as a Victorian gentleman."
"An Orc trying to solve a Rubik's Cube.", "An Orc trying to solve a Rubik's Cube."
"A Goblin riding a Roomba vacuum cleaner into battle.", "A Goblin riding a Roomba vacuum cleaner into battle."
"A Knight in full plate armor attempting to use a modern smartphone.", "A Knight in full plate armor attempting to use a modern smartphone."
"A T-Rex wearing a tiny top hat and a monocle.", "A T-Rex wearing a tiny top hat and a monocle."
"A group of gnomes operating a giant, wooden, pedal-powered mech.", "A group of gnomes operating a giant, wooden, pedal-powered mech."
"An Angelic being, looking bored while waiting at a bus stop.", "An Angelic being, looking bored while waiting at a bus stop."
"A Skeleton bard playing an electric guitar.", "A Skeleton bard playing an electric guitar."
"A heavily augmented cyborg bounty hunter with a plasma rifle.", "A heavily augmented cyborg bounty hunter with a plasma rifle."
"A sleek android assassin with a glowing katana, in a dynamic pose.", "A sleek android assassin with a glowing katana, in a dynamic pose."
"A heavily weathered mining mech, looking old and rusty.", "A heavily weathered mining mech, looking old and rusty."
"An insectoid alien diplomat, holding a data slate.", "An insectoid alien diplomat, holding a data slate."
"A space marine in powered armor fighting a xenomorph-like creature.", "A space marine in powered armor fighting a xenomorph-like creature."
"A steampunk automaton powered by intricate clockwork and gears.", "A steampunk automaton powered by intricate clockwork and gears."
"A mechanical owl with brass feathers and glowing ruby eyes.", "A mechanical owl with brass feathers and glowing ruby eyes."
"A plague doctor with a steampunk-style breathing apparatus.", "A plague doctor with a steampunk-style breathing apparatus."
"A treasure chest that is actually a Mimic, with its tongue and teeth slightly visible.", "A treasure chest that is actually a Mimic, with its tongue and teeth slightly visible."
"A swirling magical portal set within an ancient stone archway.", "A swirling magical portal set within an ancient stone archway."
"A floating crystal that pulses with a soft inner light.", "A floating crystal that pulses with a soft inner light."
"An ancient, rune-covered altar in a forest clearing.", "An ancient, rune-covered altar in a forest clearing."
"A crashed alien escape pod, half-buried in the ground.", "A crashed alien escape pod, half-buried in the ground."
"A magical, enchanted forge with glowing coals and spectral hammers.", "A magical, enchanted forge with glowing coals and spectral hammers."